SL,NAME OF RETAIL OUTLET,LOCATION,DISTRICT,STATE,BANK
177,ARNAV PETROLIUM PROP KRISHNA DEV RAY,"GURMIYA CHOWK GURMIYA CHOWK,GURMIYA CHOWK SARAI",VAISHALI,Bihar,SBI
178,M S JAGDAMBA FUELS,"BAHASI CHOWK DESHRI MAHUA ROAD,PS JANDAHA VAISHALI",VAISHALI,Bihar,SBI
179,R D MANDAL KISAN SEVA KENDRA,"R D MANDAL KISAN SEVA KENDRA PAKKISARAI,NH 80 BHAGALPUR GHOGHA",BHAGALPUR,Bihar,SBI
180,RADHAKANT SINGH K S K SIKARIA,"RADHAKANT SINGH K S K SIKARIA,TARANAGAR BIHTA PATNA",PATNA,Bihar,SBI
181,CHANDRASHEKHAR KISAN SEWA KENDRA,"CHANDRASHEKHAR KISAN SEWA KENDRA MAIDABABHANGAMA,BARAUNI BEGUSARAI",BEGUSARAI,Bihar,SBI
182,SHRISTI DIESELS,"COAL ROAD BARAUNI COAL ROAD BARAUNI,PO BARAUNI BARAUNI,",BEGUSARAI,Bihar,SBI
183,KISHORI FUEL CENTRE,"MOHANPUR GANRAHO,BEGUSARAI BEGUSARAI",BEGUSARAI,Bihar,SBI
184,ANAND FUELS,"CHAKME HSI CHAKME HSI,CHAKME HSI SAMSTIPUR",SAMASTIPUR,Bihar,SBI
185,SHIV SHAKTI FUEL CENTER PIPRA,"VILL PIPRA PO WARI VILL PIPRA PO WARI,SINGHIA SAMASTIPUR",SAMASTIPUR,Bihar,SBI
186,NACHIKETA KISHAN SEWA KENDRA,"LAI CHOUK THANA BIHTA LAI CHOUK THANA BIHTA,RAMPUV HASAN LAI PATNA",PATNA,Bihar,SBI
187,SUVIDHA KISAN SEWA KENDRA,"SUVIDHA KISAN SEWA KENDRA KORAIYA SULTANPUR,JAMUI DULHIN BAZAR PATNA",PATNA,Bihar,SBI
188,SHANTI MEHTA KISAN SEWA KENDRA,"MEHTA NAGAR SHERPUR MEHTA NAGAR SHERPUR,WARSALIGANJ NAWADA",NAWADA,Bihar,SBI
189,RATANSAGAR KISAN SEVA KENDRA,"VILL ADFA PO KANJHARUAI,PO KANJHARUAI KORANSARAI",BUXAR,Bihar,SBI
190,SHIVANI FUEL CENTER,"AT PO MORWA AT PO MORWA,AT PO MORWA SAMASTIPUR",SAMASTIPUR,Bihar,SBI
191,SALUJA KISAN SEWA KENDRA,"MUNGELI ROAD LORMI,MUNGELI",MUNGELI,Chhatisgarh,SBI
192,SHRI HARI KISAN SEWA KENDRA,"HARILAL DEWANGAN, COSTRA PARA, NEAR SARASWATI PRATIMA, RAIGARH,RAIGARH",RAIGARH,Chhatisgarh,SBI
193,SHRI HARI PETROLEUM,"WARD NO.-05, NEAR DURGA TEMPLE, CHHAL ROAD,GHARGHODA,GHARGHODA",RAIGARH,Chhatisgarh,SBI
194,SNEHA FUELS KSK,"SNEHA FUELS KISAN SEWA KENDRA LOKHANDI SAKRI,SNEHA FUELS KSK LOKHANDI BILASPURBILASPUR",BILASPUR,Chhatisgarh,SBI
195,U S FUELS,"U S FUELS TURKADIH TAKHATPUR,U S FUELS TURKADIH TAKHATPUR TAKHATPUR",BILASPUR,Chhatisgarh,SBI
196,SETHI KISHAN SEVA KENDRA,"Dondekala Matiya Marg PO dondekala,RAIPUR",RAIPUR,Chhatisgarh,SBI
197,RAHANGI FUELS,"KISAN SEWA KENDRA VILL RAHANGI BILHA,RAHANGI FUELS KSK BILHA BILAPSUR BILASPUR",BILASPUR,Chhatisgarh,SBI
198,SRI KRISNA KISAN SEVA KENDRA,"TEMAR ROAD SONTHI, SAKTI, TEH-JANJGIR CHAMPA,SAKTI",JANJGIR,Chhatisgarh,SBI
199,SATI DEVI FUELS,"VILLAGE DHAMNI POST CHAKARBHATA TEHSIL BILHA,SATI DEVI FUELS VILLAGE DHAMNI BILASPURBILASPUR",BILASPUR,Chhatisgarh,SBI
200,Kamna Fuels,"Bhansoj Teh Arang,Raipur Raipur",RAIPUR,Chhatisgarh,SBI
201,Balaji Fuels,"Bharenga Bhata Khorpa,Old Dhamtari Road Raipur,",RAIPUR,Chhatisgarh,SBI
202,Shivangi Fuels,"Tekari Daldal Seoni Road,vill Parsuldih Raipur",RAIPUR,Chhatisgarh,SBI
203,SHRI RAM KISAN SEVA KENDRA,"SHRI RAM KISAN SEVA KENDRA PHARSABAHAR ROAD,BANDARCHUA KANSABEL",JASHPUR,Chhatisgarh,SBI
204,VASUDEV KISAN SEVA KENDRA,"VASUDEV KSK BORODEYA CHOWK,PUSSORE PUSSORE",RAIGARH,Chhatisgarh,SBI
205,SHARDA FUELS,"MOTI NAGAR OLD DHAMTARI ROAD RAIPUR,Raipur",RAIPUR,Chhatisgarh,SBI
206,ADITYA FUELS KSK,"KHADGAWAN KALA KHADGAWAN KALA,KHADGAWAN KALA PRATAPPUR",SURAJPUR,Chhatisgarh,SBI
208,MEET KISAN SEVA KENDRA,"Bhatsan Village TA - Saraswati ,Patan,Gujarat,384285",PATAN,Gujarat,SBI
209,ROYAK KISAN SEVA KENDRA,"IOCL PETROLPUMP, BALAGAM PATIYA, AT KESHOD-MANGROL ROAD, KESHOD,GUJARAT",JUNAGADH,Gujarat,SBI
210,SAINATH PETROLEUM,"VILL PITHALPUR AT POST ZANZMER,DIST BHAVNAGAR,GUJARAT,364135",BHAVNAGAR,Gujarat,SBI
211,SHIVA FUELS,"PALACELINE, TITILAGARH ROAD, BOLANGIR,BOLANGIR",BOLANGIRI,Gujarat,SBI
212,SHREE SHAKTI KISAN SEVA KENDRA,"VILLAGE KONJALI,TALUKA MAHUVA DIST BHAVNAGAR",BHAVNAGAR,Gujarat,SBI
213,SADDGURU KISAN SEVA KENDRA,"VILLAGE : PADVATALUKA: GHOGHA , DIST : BHAVNAGARGUJARAT364110",BHAVNAGAR,Gujarat,SBI
214,"HONEST KISAN SEVA KENDRA,ZAK","zak,GandhinagarAT. ZAK VAHELAL ROAD NR. HONEST WEIGH BRIDGE TAL. DEHGAM DIST.GANDHINAGAR",GANDHI NAGAR,Gujarat,SBI
215,SAT KAIVAL ENTERPRISES,"CANAL CHOKDI, AT AND POST KARKHADI,VADODARA",VADODARA,Gujarat,SBI
216,SHIV KRUPA KISAN SEVA KENDRA,"at-garbada,Garbada,Dahod",DAHOD,Gujarat,SBI
217,KALYANKRUPA K S K,"KALYANKRUPA K S K VILLAGE SATODAD TALUKA JAMKANDORNA RAJKOT,SATODAD",RAJKOT,Gujarat,SBI
218,AYUSH KISAN SEVA KENDRA,"vanzna vangarwadi ta chikhli navsari,NAVSARI",NAVSARI,Gujarat,SBI
219,SHREEJI GARIYADHAR KISAN SEVA KENDRA,"NAVAGAM ROAD GARIYADHAR 364505,GARIYADHAR",BHAVNAGAR,Gujarat,SBI
220,"THE SARBHAN CO OP M P AGRI CREDIT SOCIETYLTD","AT SARBHAN TAL AMOD,TAL AMOD",BHARUCH,Gujarat,SBI
221,R R FUELS,"R R FUELS AT PO ROZA TANKARIA,TALUKA AMOD ROZA TANKARIA",BHARUCH,Gujarat,SBI
222,Ms SHIV KRUPA PETROLEUM,"Ms SHIV KRUPA PETROLEUM AT MOTA DAHISARA,OPP RAILWAY CROSSING MOTA DAHISARA,",MORBI,Gujarat,SBI
223,KEDARNATH KISAN SEVA KENDRA,"AT AND POST- MALAN, TA-PALANPUR, DI-BANASKANTHA,PALANPUR",BANAS KANTHA,Gujarat,SBI
224,JAI MAHAKALI KISHAN SEVA KENDRA,"AT POST GADH TA- PALANPUR DIST BK,GADH",BANAS KANTHA,Gujarat,SBI
225,SHREE HARSIDDHI KISAN SEVA KENDRA,B/No. 45/P VILL.GODHNI MUWADI TAL. KADANA DIST. PANCHMAHAL,MAHISAGAR,Gujarat,SBI
226,SHRI SONAL KRUPA PETROLEUM,"R.S. NO. 556/3, ARIHANT NAGAR, VILL. MOTIBHUJPOR, MUNDRA,GJ",KUTCH,Gujarat,SBI
227,SHIV SHAKTI PETROLEUM,"Ms SHIV SHAKTI PETROLEUM AT MATHAK TA HALVAD,MATHAK MATHAK",MORBI,Gujarat,SBI
228,SHREE SWAMINARAYAN KISAN SEVA KENDRA,"COLONY ROAD KOTHABMA,KOTHAMBA DIST MAHISAGAR",MAHISAGAR,Gujarat,SBI
229,JAY BILNATH KISHAN SEVA KENDRA,"Majewadi,Dist Junagadh,GUJARAT",JUNAGADH,Gujarat,SBI
230,VARSHA KISAN SEVA KENDRA,"VARSHA KISAN SEVA KENDRA AT POST JORNANG,VILLAGE JORNANG TA DIST MEHSANA",MEHSANA,Gujarat,SBI
231,SHREE RAM KISHAN SEVA KENDRA,"SHREE RAM KISHAN SEVA KENDRA MDR ROAD GORISANA,GORISANA KHERALU",MEHSANA,Gujarat,SBI
232,YAMUNOTRI KISAN SEVA KENDRA,"403 P 1 AT CHANSOL VILLAGE CHANSOL,TA KHERALU CHANSOL",MEHSANA,Gujarat,SBI
233,VIKRAM KISAN SEVA KENDRA,"NEAR TELEPHONE EXCHANGE VILL - AJOTHA,VERAVAL",GIR SOMNATH,Gujarat,SBI
234,VISHWAKARMA KISAN SEVA KENDRA,"AT POST TALEGADH TALUKA SATLASANA DISTT MEHSANA TALEGADH SATLASANA,MEHSANA",MEHSANA,Gujarat,SBI
235,SHREENATHJI KISAN SEVA KENDRA,"Ahmedabad Road On The Way To Weganpur To Kakanpur ATPOST PANCH MAHALS,GODHRA",PANCH MAHAL,Gujarat,SBI
236,GOKUL K S K PETROLEUM,"IOCL PETROL PUMP AT LAMBA BANDAR,TA JAM KALYANPUR LAMBA","DEVBHUMIDWARKA",Gujarat,SBI
237,GAYATRI PETROLEUM,"GAYATRI PETROLEUM BLOCK NO 63 BHIMPURA UKAI FORT SONGADH,TAPI",TAPI,Gujarat,SBI
238,R K PETROLEUM,"ALIABADA VILLAGE ALIA BADA,IOCL PETROL PUMP ALIA BADA",JAMNAGAR,Gujarat,SBI
239,KAILASH PETROLEUM (KSK),"SASAN ROAD,MALIYA HATINA",JUNAGADH,Gujarat,SBI
240,GURU ASHISH PETROLIUM,"CHOGATH-UMRALA ROAD, UMRALA,UMRALA",BHAVNAGAR,Gujarat,SBI
241,CHANDRODA KISAN SEVA KENDRA,"SR NO 259 HARIJ BECHRAJI ROAD,HIGHWAY BECHRAJI",MEHSANA,Gujarat,SBI
243,VEER PETROLIUM,"VEER PETROLIUM TO-KHODU TA-WADHWAN DIST-SURENDRANAGAR,GUJARAT",SURENDRANAGAR,Gujarat,SBI
244,KISHAN PETROLEUM,"KISHAN PETROLEUM NR MAMLATDAR OFFICE,BALMANDIR ROAD JAMJODHPUR",JAMNAGAR,Gujarat,SBI
245,CHAMUNDA KISHAN SEVA KENDRA,"PETROL PUMP- DHANDHLPUR,HADALA ROAD,TO POST-DHANDHLPUR TA-SAYLA,TO-DHANDHLPURDIST-SURENDRANAGAR",SURENDRANAGAR,Gujarat,SBI
246,"MAA GAYATRI KRUPA KISAN SEVA KENDRAPETROL PUMP","Indian Oil Petrol Pump At Po PRATAPURATaluka SANJELI JHALODDahod 389130,Dahod",DAHOD,Gujarat,SBI
247,SHREE KRUSHNA KISAN SEVA KENDRA,"AT RUSTAMPURA TALUKA WAGHODIA,VADODARA",VADODARA,Gujarat,SBI
248,SHREE VARUDI PETROLEUM,"AT & PO VELACHHA, TAL-MANGROL, DIST-SURAT,VELACHHA",SURAT,Gujarat,SBI
249,RAVIKIRAN PETROLIUM,"RAVIKIRAN PETROLIUM AT-VATAVACHHA TA-SAYLA DIST-SURENDRANAGAR,GUJARAT",SURENDRANAGAR,Gujarat,SBI
250,JALARAM PETROLEUM,"BLOCK NO-41, SURVEY NO-208/209, VILLAGE VANKAL, BARIYA AMBA ROAD,MANGROL,VANKAL",SURAT,Gujarat,SBI
251,SHREE PRAMUKH SWAMI KISAN SEVA KENDRA,"OPP MAMLATDAR OFFICE GHOGHAMBATaluka GHOGHAMBADistrictPANCHMAHALS,GHOGHMABA",PANCH MAHAL,Gujarat,SBI
252,"SHREE SHIVSHAKTI KISAN SEVA KENDRAMALEKPUR","IOCL PETROL PUMP MALEKPUR CHOKADI AT MALEKPUR TA LUNAWADA DIMAHISAGAR,LUNAWADA",MAHISAGAR,Gujarat,SBI
253,"JAY AMBE KISAN SEVA KENDRA DHAMOTNAMOHILA","PETROL PUMP AT DHAMOTNA MOHILA PO NANISARSAN TA SANTRAMPUR DIMAHISAGAR,SANTRAMPUR",MAHISAGAR,Gujarat,SBI
254,R M SELOT KISAN SEVA KENDRA DELOCH,"r m selot ksk deloch surveyno 157 1 2 block no 107 vill deloch ta morva hadaf dipanchmahals,Dahod",PANCH MAHAL,Gujarat,SBI
255,MAHAVIR PETROLIUM,"SELANA,TAL- SAVARKUNDALA, DIST- AMRELI",AMRELI,Gujarat,SBI
256,RAJCHAMUNDA KISAN SEVA KENDRA,"VILLAGE TANA Tal SIHOR Dist BHAVNAGAR,VILLAGE: TANA Tal; SIHOR Dist: BHAVNAGAR,GUJARAT",BHAVNAGAR,Gujarat,SBI
257,NANDINI KISAN SEVA KENDRA,"MEDHASAN NEAR BUS STAND,RAIGHADH ROAD MODASA",ARAVALLI,Gujarat,SBI
258,NIRAJ KISHAN SEVA KENDRA,"AT GUNDA TALUKA: BHANVAD DISTRICT: DEVBHUMI DWARKA,BHANVAD","DEVBHUMIDWARKA",Gujarat,SBI
259,SHREE SAI PETROLEUM,"NIKORA SINDODA ROAD AT NIKORA BHARUCH,BHARUCH",BHARUCH,Gujarat,SBI
260,SHRI DHANK KISAN SEVA KENDRA,"DHANK GADHEDHAD ROAD UPLETA,TALUKA UPLETA UPLETA",RAJKOT,Gujarat,SBI
261,MURLIDHAR KISHAN SEVA KENDRA,"MURLIDHAR KISHAN SEVA KENDRA IOCL PETROL PUMP,NIKODA CHAR RASTA AT POST NIKODAHIMATNAGAR",SABAR KANTHA,Gujarat,SBI
262,GITA KISAN SEVA KENDRA,"AT_ANIYOR,TA_MALPUR DIST ARAVALI",ARAVALLI,Gujarat,SBI
263,JAY KISAN SEVA KENDRA,"AT VAGRA NEAR GEB,VAGRA BHARUCH,",BHARUCH,Gujarat,SBI
264,SHIV PETROLIUM,"CITY-MOKSHI,TAL-SAVLI,DIST-BARODA,VADODARA",VADODARA,Gujarat,SBI
265,DEVANSHU KISAN SEVA KENDRA,"KISAN SEVA KENDRA KHERADI,OPP S V DESAI VIDHYAMANDIR KHERADI BHILODA",ARAVALLI,Gujarat,SBI
266,"THE CHITRODA GROUP SEVA SAHAKARI MANDALILTD","THE CHITRODA GROUP SEVA SAHAKARI MANDALI LTD CHITRODA IDAR DIST SABAR KANTHA,IDAR",SABAR KANTHA,Gujarat,SBI
267,SHREE VALKESHWAR PETROLEUM,"555/A-2, AT- ASHA, TAL-JHAGADIA,ANKLESHWAR,GUJARAT",BHARUCH,Gujarat,SBI
268,BABA RAMDEV KISAN SEVA KENDRA,"AT JAI SAWAD GARBADA,MAIN BAZAR JAISAWADA TAL GARBADA GARBADA",DAHOD,Gujarat,SBI
269,SWASTIK KISAN SEVA KENDRA,"SWASTIK KISAN SEVA KENDRA ,KHIMANAVAS DHIMA ROAD,WAV",BANAS KANTHA,Gujarat,SBI
270,GURUKRUPA KISAN SEVA KENDRA,AT & POST : BALDANA TAL. BAVLA DIS. AHMEDABAD,AHMEDABAD,Gujarat,SBI
271,SANTBHUMI PETROLEUM-,"SURVEY NO.160 PLOT/1 TALAJA MAHUVA ROAD,BAGDANA TALUKA MAHUVA DIST BHAVNAGAR",BHAVNAGAR,Gujarat,SBI
272,CHANDRODA KISAN SEVA KENDRA,"SR NO 259 HARIJ BECHRAJI ROAD,HIGHWAY BECHRAJI",MEHSANA,Gujarat,SBI
273,HARI OM KISSAN SEWA KENDRA,"near baba shri ram high school,vpo-petwar,tehsilnarnaud,distt-hisar,HISAR",HISAR,Haryana,SBI
274,RADHEY KRISHNA KSK,"vpo ramayan tehsil & distt-hisar,HISAR",HISAR,Haryana,SBI
275,SAHARAN PETRO KSK,"vpo-julani,tehsil & distt jind,JIND",JIND,Haryana,SBI
276,APNA KISSAN SEWA KENDRA,"vpo-lajwana khurd,tehsil-julana,distt jind,JULANA",JIND,Haryana,SBI
277,HAWA SINGH KISAN SEWA KENDRA,"vpo shahpur,hisar,HISAR",HISAR,Haryana,SBI
278,HIND KISAN SEWA KENDRA,"daroli road khara barwala adampur,ADAMPUR",HISAR,Haryana,SBI
279,JATIN KISAN SEWA KENDRA,"vpo mujadpur,tehsil & distt-hisar,HISAR",HISAR,Haryana,SBI
280,SATISH KISAN SEWA KENDRA,"1km stone daroli road,adampur,ADAMPUR",HISAR,Haryana,SBI
281,VIRAT KISAN SEWA KENDRA,"8km stone,vpo chuli bagrian,adampur,ADAMPUR",HISAR,Haryana,SBI
282,NARESH KISHAN SEWA KENDRA,"NARESH KISHAN SEWA KENDRA,VILL KALAYAT",KAITHAL,Haryana,SBI
283,BHANU FUELS KSK,"KHERKI BADSHAHPUR ROAD,DARBARIPUR GURGAON",GURGAON,Haryana,SBI
284,MS DHAMIJA KSK,"VILLAGE NAIN PO ALUPUR THE MADLAUDA,PANIPAT",PANIPAT,Haryana,SBI
285,PRINCE PRINKEL KSK,"IOCL PETROL PUMP VILL SIWAN MAJRA ADHOYA TO KOOLPUR ROAD,BARARA",AMBALA,Haryana,SBI
286,GULZAR FILLING STATION,"GULZAR FILLING STATION VPO DURANA,KALERA MOHRA ROAD DURANA",AMBALA,Haryana,SBI
287,BAIRAGI KISSAN SEWA KENDER,"BAIRAGI KISSAN SEWA KENDER ASSANDH SIRSAL ROAD,VILLAGE CHOCHRAN TEH ASSANDHKARNAL",KARNAL,Haryana,SBI
288,BALAJI KSK FILLING STATION,"VILL DHOLPALIA ELLENABAD,ELLENABAD",SIRSA,Haryana,SBI
289,SHRI RAM FILLING STATION,"SHRI RAM FILLING STATION VILL NAHONI TEH BARARA NEAR KALPI AMBALA,AMBALA CITY",AMBALA,Haryana,SBI
290,CHHILER FILLING STATION KSK,"CHHILER FILLING STATION KSK NIZAMPUR DANCHOLI ROAD,DANCHOLI NARNAUL",MAHENDRAGARH,Haryana,SBI
291,NEETU FILLING STATION,"JHAJJAR GAWALISON ROAD GAWALISON JHAJJAR,JHAJJAR",JHAJJAR,Haryana,SBI
292,SIWACH KISSAN SEVA KENDRA,"INDIAN OIL RETAIL OUTLET (KSK) VILL-BHAINI CHANDERPALROHTAK MEHAM-JULANA ROADDISTT-ROHTAK",ROHTAK,Haryana,SBI
293,MS CH BUDH SINGH FILLING STATION KSK,"KSK VILLAGE NACHAULI,FARIDABAD FARIDABAD",FARIDABAD,Haryana,SBI
294,CH MATU RAM KISAN SEWA KENDRA,"VPO KALVAN, KALVAN TOHANA ROAD,NARWANA",JIND,Haryana,SBI
295,Ladha Petrocity,"Ladha Petrocity , Near Udham Singh Chowk, Byepass Ellenabad,,HARYANA",SIRSA,Haryana,SBI
296,BAKNOUR KISSAN SEWA KENDRA,"BAKNOUR KISSAN SEWA KENDRA VPO BAKNAUR TEH AMBALA,NEAR AIR FORCE STATIONBAKNAUR AMBALA",AMBALA,Haryana,SBI
297,BABA BISHADA KISAN SEWA KENDER,"ON KHANDA KHERI-UGALAN ROAD HANSI,HANSI",HISAR,Haryana,SBI
298,JAI JAWAN JAI KISSAN SEWA KENDRA,"CHULKANA ROAD SAMLAKHA VILLAGE KIWANA CHULKANA ROAD SAMLAKHA,PANIPAT",PANIPAT,Haryana,SBI
299,PREET KISAN SEWA KENDRA,"PREET KISAN SEWA KENDRA KURALI VPO KURALI NARAINGARH HARDBON CHOWK,AMBALAH",AMBALA,Haryana,SBI
300,FOUZI KISAN SEVA KENDRA,"FOUZI KISAN SEVA KENDRA VPO BASANA,TEHSIL KALANAUR DIST ROHTAK ROHTAK",ROHTAK,Haryana,SBI
301,SHRI MAHA BALAJI KSK,"VILLAGE PADLA KUND BEHROR ROAD,RAJASTHAN BORDER REWARI",REWARI,Haryana,SBI
302,SHRI SHYAM MURARI FILLING STATION KSK,"SHRI SHYAM MURARI FILLING STATION KSK 95 96 KM STO,PATAUDHA JHAJJAR",JHAJJAR,Haryana,SBI
303,BHAVI PETRO KSK,"VILL BADHA VILL BADHA,GURGAON GURGAON",GURGAON,Haryana,SBI
304,NAMBERDARA KISAN SEWA KENDRA,"NAMBERDARA KISSAN SEWA KENDRA VILLAGE MANGEYANA TE,NEAR BUS STAND SIRSA",SIRSA,Haryana,SBI
305,SHRI HARNAM KISAN SEWA KENDER,"VPO RAWALWAS KALAN BALSAMAND ROAD,HISAR",HISAR,Haryana,SBI
306,BAJWA KISAN SEWA KENDER,"MOUJDEEN KUTEBADH ROAD SHEKHU KHERA ELLENABAD,ELLENABAD",SIRSA,Haryana,SBI
307,SHRI JAGJIT KISAN SEWA KENDER,"VILLAGE SAINPAL DUDHIANWALI-BANI ROAD,PO NATHORETEH RANIA,RANIA",SIRSA,Haryana,SBI
308,SATGURU KISAN SEWA KENDER,"MOUJDEEN KUTEBADH ROAD SHEKHU KHERA ELLENABAD,SIRSA",SIRSA,Haryana,SBI
309,SHRI NAVKAR KSK,"RORI KALANWALI ROAD,RORI,RORI",SIRSA,Haryana,SBI
310,"SHRI RAWAT RAM BHAMBHU KISAN SEWAKENDER","NOHAR ROAD ELLENABAD,ELLENABAD",SIRSA,Haryana,SBI
311,SALASAR PETRO KSK,"VILAAGE KIKRAL,SIWANI-GURERA ROAD,SIWANI",BHIWANI,Haryana,SBI
312,SHAHEED RAM CHNADER KSK,"VILLAGE JHOJHU KALAN,JHOJHU KALAN-ADAMPURDADI ROAD,BHIWANI",BHIWANI,Haryana,SBI
313,ANKIT ASHU FILLING STATION KSK,"VILLAGE DALAWAS, BHADRA -JUI ROAD,BHIWANI",BHIWANI,Haryana,SBI
314,SHEORAN FILLING STATION KSK,"VILLAGE NALOI,SIWANI-BHADRA ROAD,BHIWANI",BHIWANI,Haryana,SBI
315,KAMAL KISSAN SEWA KENDER,"VILLAGE NINDANA KHAS,TEHSIL MAHAM,ROHTAK",ROHTAK,Haryana,SBI
316,SAMTA FILLING STATION KSK,"VILLAGE SUNDREHTI ON SASROLI NAOGA ROAD,MATANHAIL,JHAJJAR",JHAJJAR,Haryana,SBI
317,JAKHAR FILLING STATION KSK,"VILLAGE VILLAGE DHANA BLOCK MATANHAIL PO SALHAWAS,JHAJJAR",JHAJJAR,Haryana,SBI
318,RISHI KISSAN SEWA KENDER,"VILLAGE BHOJAWAS PO AKBARPUR TEHSIL NARNAUL,MAHENDERGARH",MAHENDRAGARH,Haryana,SBI
319,N R FILLING STATION KSK,"VILLAGE BARSANA,HABRI-PUNDRI ROAD,KAITHAL,KAITHAL",KAITHAL,Haryana,SBI
320,KRISHNA KSK FILLING STATION,"ARAINPURA ROAD GHARAUNDA,KARNAL",KARNAL,Haryana,SBI
321,CH SHEETAL DASS KSK FILLING STATION,"VPO ASSAN KALAN,PANIPAT",PANIPAT,Haryana,SBI
322,MITTAR SAIN KISSAN SEWA KENDRA,"VILLAGE HABBATPUR,PABANI ROAD,P.O. SARAWA,TEHSIL BILASPUR,YAMUNA NAGAR",YAMUNANAGAR,Haryana,SBI
323,DURGA FILLING STATION,"KHATA NO 56 79 MORWA NO 19 KAURALI CHANDPUR,IMMAMUDDINPUR BALLABGARHFARIDABAD",FARIDABAD,Haryana,SBI
324,GULZAR FILLING STATION,"GULZAR FILLING STATION VPO DURANA,KALERA MOHRA ROAD DURANA",AMBALA,Haryana,SBI
325,SARPANCH KISAN SEWA KENDRA,"SARPANCH KISAN SEWA KENDRA MEGHOT BINJA NANGAL CHA,TEH NARNAUL DISTT MGARHHARYANA NARNAUL",MAHENDRAGARH,Haryana,SBI
326,BOHRAJI KISAN SEWA KENDRA,"MS BOHRAJI KISAN SEWA KENDRA PANCHNOTA NANGAL CHAU,TEH NARNAUL DISTTMOHINDERGARH HARYANA NANGAL CHAU",MAHENDRAGARH,Haryana,SBI
327,LUCKY PETROLEUM,"LUCKY PETROLEUM VILLAGE ANDHERA,VILLAGE ANDHERA MEERUT ROAD KARNAL KARNAL",KARNAL,Haryana,SBI
328,MALHAN KISAN SEWA KENDER,"VPO NUNIAWALI PO ODHAN,ODHAN",SIRSA,Haryana,SBI
329,USHA KISAN SEWA KENDER,"VILLAGE RANDOLI,BIANA -RANDOLI ROAD,TEHSIL INDRI,KARNAL,KARNAL",KARNAL,Haryana,SBI
330,SHEELA DEVI KSK,"NEPTHA CRACKERS PLANT ROAD,VPO KABRI,PANIPAT",PANIPAT,Haryana,SBI
331,RCB FILLING STATION,"Vill MirzapurNear Gurukul Thanesar Kurukshetra Haryana KURUKSHETRA,KURUKSHETRA",KURUKSHETRA,Haryana,SBI
332,MAHA YOGI KSK,"MAHA YOGI KSK VILLAGE DEEWAL SANJUMA ROAD KAITHAL,KAITHAL",KAITHAL,Haryana,SBI
333,SALASAR PETRO KISHAN SEVA KENDRA,"VILAAGE KIKRAL,SIWANI-GURERA ROAD,SIWANI",BHIWANI,Haryana,SBI
334,SAM KISAN SEWA KENDRA,"SAM KISAN SEWA KENDRA BYE PASS CHAUTALA ROAD,CHAUTALA SIRSA",SIRSA,Haryana,SBI
335,MAA SHAKUMBHARI KS K,"maa shakumbhari k s k vpo budhkalan budhakalan YAMUNANAGAR,budhakalan",YAMUNANAGAR,Haryana,SBI
336,SHAHEED RAM CHANDER KISAN SEWA KENDRA,"VILLAGE JHOJHU KALAN,JHOJHU KALAN-ADAMPURDADI ROAD,BHIWANI",BHIWANI,Haryana,SBI
337,JAMMU KSK FILLING STATION,"JAMMU KSK FILLING STATION,VPO KHERI GHULAM ALI",KAITHAL,Haryana,SBI
338,SATYAM FILLING STATION-229904,"Satyam Filling Station Village Morund,ON NANGAL CHOUDHARY BEHROR ROAD NANGALCHOUDHARY",MAHENDRAGARH,Haryana,SBI
339,MADOTRA KISAN SEWA KENDER,"ALEWA DATHRATH ROAD ALEWA,JIND",JIND,Haryana,SBI
340,DUHAN KISAN SEWA KENDER,"VPO KARELA,JULANA",JIND,Haryana,SBI
341,RADHIKA PETRO KSK,"RADHIKA PETRO KSKHISAR BHUNA ROAD,VPO NEHLAFATEHABAD",FATEHABAD,Haryana,SBI
342,GHANGHAS KISAN SEWA KENDRA,"NEEMLA-RAMPURIA ROAD,TEHSIL ELLENABAD,DISTT-SIRSA,ELLENABAD",SIRSA,Haryana,SBI
343,RIDHI SIDHI KSK,"VPO KARTAMSANA,TEHSIL ELENABAD DISTT-SIRSA,ELLENABAD",SIRSA,Haryana,SBI
344,SHREE KRISHANA KSK FILLING STATION,"VPO ANDHERA MEERUT ROAD,KARNAL,KARNAL",KARNAL,Haryana,SBI
345,Birmhan Filling Station,"Village Gubhana,Jhajjar",JHAJJAR,Haryana,SBI
346,VISHNU KISAN SEWA KENDRA,"VISHNU KISAN SEWA KENDRA SUREWALA ROAD BANI JEEWANNAGAR,SIRSA",SIRSA,Haryana,SBI
347,SAWARNI KISAN SEWA KENDER,"SAWARNI KISAN SEWA KENDER VILL LOUTAN,ON NANEOLA MATHERI ROAD AMBALA",AMBALA,Haryana,SBI
348,AMBE KISAN SEWA KENDRA,"AMBE KISAN SEWA KENDER VILL MAUJ GARH BARARA,BARARA",AMBALA,Haryana,SBI
349,RS FUELS,"RS FUELS BADHRA ROAD,SATNALI MAHENDERGARH",MAHENDRAGARH,Haryana,SBI
350,BABA KHETA NATH FILLING STATION,"BABA KHETA NATH FILLING STATION ZERPUR,MAHENDERGARH MAHENDERGARH",MAHENDRAGARH,Haryana,SBI
351,MASTER R C FILLING STATION,"VILLAGE SONDHAD TEHSIC HODAL 8 K M MILESTONE,HODAL NUH ROAD PALWAL",PALWAL,Haryana,SBI
